epoch,lr,loss,iou,dice,val_loss,val_iou,val_dice
0.0,1e-05,1.1616722124530334,0.0008302298685417489,0.0013886264569484847,1.1319199091468761,3.357142258692036e-05,0.001716666876362171
1.0,1e-05,1.120324817821707,0.04599410850402721,0.0018958424215413706,1.1127544412945352,0.1575139860080735,0.00235746680375219
2.0,1e-05,1.102247782277992,0.24964531924055433,0.003063267162580626,1.094990938317542,0.17252069611265755,0.0033499443372553635
3.0,1e-05,1.0865953563781274,0.277417052663352,0.00485770226586686,1.08085573316919,0.23370247845877815,0.004481243762475754
4.0,1e-05,1.0733182230147542,0.3213550725725223,0.005961566770213516,1.0700167508426575,0.26223700548684536,0.004784865725707193
5.0,1e-05,1.0615787033406767,0.3391892440873646,0.007054467757001876,1.0626614982006597,0.27323626846955845,0.005186069915067459
6.0,1e-05,1.0506541601310764,0.35929035207205123,0.008413312515421852,1.0470341553095899,0.21051255237835462,0.008375190985872829
7.0,1e-05,1.040698321269321,0.38361140972312296,0.010033525168791715,1.0386006782776909,0.2744139845034876,0.008377384455433144
8.0,1e-05,1.0317724598126887,0.38764416906405863,0.01180011014603662,1.0293628595493458,0.3031364767391201,0.01066261853197159
9.0,1e-05,1.0233775753360754,0.3885349975380307,0.013897561887459563,1.0231616829475287,0.33917386717532416,0.011076587616451554
10.0,1e-05,1.0152121159516263,0.40587684128240126,0.016589063123175856,1.015837519516872,0.2826961492035736,0.013959069899259607
11.0,1e-05,1.007500882172895,0.3959753764076578,0.01966488816462034,1.0097299666186563,0.3354258342029491,0.015771856431753134
12.0,1e-05,0.9992477497040104,0.40496493683911894,0.023736140513288678,1.0026767103240901,0.3281336298389538,0.01827879227027644
13.0,1e-05,0.9906274487416754,0.41473813143389704,0.028829700697561807,0.9916860569016865,0.2920468740730228,0.025715120090489377
14.0,1e-05,0.9815413422246401,0.42017214805257525,0.03499743708737865,0.9845357502208036,0.3092399661870793,0.030437688976102675
15.0,1e-05,0.9713599227271791,0.4256484060806402,0.04266497438288131,0.9714190619703471,0.28550456572925476,0.04089667124375038
16.0,1e-05,0.959772944536637,0.43073805916105573,0.05196299252734914,0.9697800653952139,0.3338782916360415,0.042047135391629735
17.0,1e-05,0.9455293851719924,0.46527794237217895,0.06326680506300121,0.9648480311458147,0.31650202776494263,0.04583047241670918
18.0,1e-05,0.9296652627232795,0.4701274016460161,0.0734461551535382,0.9475504870248516,0.22099381182823602,0.06390913024538886
19.0,1e-05,0.9111119741641319,0.4717452022058518,0.08065813532200335,0.925081107351515,0.3321517942519839,0.08486702806301921
20.0,1e-05,0.8888676577987615,0.4874411476441807,0.07981515067709642,0.9000852985839178,0.33588879630236024,0.109293515547531
21.0,1e-05,0.8635161700193513,0.49827338409341826,0.07244768938985685,0.8771211186785064,0.34174503887906976,0.1289680080728489
22.0,1e-05,0.8346432972747925,0.5080994314129517,0.06545533398702066,0.8810996769040758,0.3553096768009782,0.1266749964584766
23.0,1e-05,0.8046113714985496,0.5274062669969868,0.07355262871222941,0.8404966568115749,0.37124146123505636,0.17456419333156312
24.0,1e-05,0.7731914643613371,0.5436072447903908,0.07736978222387164,0.8400922215062808,0.35985172838778096,0.16639635240245398
25.0,1e-05,0.7421145995515472,0.5491888497612106,0.08702554086214409,0.8079103136633996,0.34936939843498427,0.20750599170877
26.0,1e-05,0.7083438944109269,0.5616997626432905,0.10334515406194139,0.8131908096519171,0.3678241383632265,0.2020050666368046
27.0,1e-05,0.6734376634254124,0.5776051560769644,0.1609865324833597,0.763292850167663,0.37465073175770264,0.26280768852654457
28.0,1e-05,0.6374940125193507,0.5987476453365025,0.24374041804975535,0.761988329731561,0.39580330083487786,0.2876114062257171
29.0,1e-05,0.5980714857578278,0.6318714578550201,0.5353307195029343,0.7220537739771383,0.3940920877558972,0.33098641106682203
30.0,1e-05,0.5564988188650432,0.6475384998090965,0.5884583726121119,0.693252427775356,0.41388980678658455,0.3694436097893724
31.0,1e-05,0.5194448826540742,0.6529993684895095,0.6284143901665589,0.6772019980000514,0.38879807059772187,0.3853527227786895
32.0,1e-05,0.48435794358315587,0.6621893438599915,0.6623440329306955,0.6888194684758945,0.369317830521584,0.3777545876857859
33.0,1e-05,0.45462194665209776,0.6675022304916458,0.6924813206728005,0.6228463585470237,0.4153120835299078,0.4532235029303768
34.0,1e-05,0.4234948902890927,0.6704420515467489,0.7130701992343047,0.650778803333218,0.40178763807712575,0.43357574996746007
35.0,1e-05,0.39651092339183075,0.6781812544667384,0.7354939202968545,0.6377451833426823,0.38320769596026605,0.4330391567183166
36.0,1e-05,0.3785216447542787,0.6804186049173492,0.7504912823317719,0.6145976268907518,0.4004946342950653,0.47237865900830145
37.0,1e-05,0.35711814353158955,0.6855726237161942,0.7642362745298688,0.5820560336827193,0.4243173415716759,0.5072064017857066
38.0,1e-05,0.33754786562212297,0.6899111577909194,0.7766126098734346,0.6233064775438351,0.38211305547968677,0.463129603433257
39.0,1e-05,0.32560383264304243,0.6907088493758706,0.7834895778207482,0.5685166290642649,0.41411006540585427,0.5122400849618324
40.0,1e-05,0.3130277951184644,0.6950453834863266,0.7922715961939037,0.6080641833200954,0.3937799942556493,0.48964806292300866
41.0,1e-05,0.3055348816595961,0.6893550249981879,0.7918327655971833,0.5704366386196452,0.41119936831615417,0.5147823062278928
42.0,1e-05,0.30031177330379377,0.6890849929625337,0.7953068579112563,0.553605534509636,0.42007602447192494,0.5344965800070884
43.0,1e-05,0.2872785608002487,0.6993426832710413,0.8054806771548035,0.5618512329192982,0.42187850306358726,0.5353551224280199
